Wavlength (nm);475-20 REF;475-20;475-20 %;110%;560-20 REF;560-20;560-20 %;100%;668-10 REF;668-10;668-10 %;97%;717-10 REF;717-10;717-10 %;107%;840-40 REF;840-40;840-40 %;106%;;;;
532;3.633145;0.002553;0.1%;;3.643076;0.04151;1.1%;;3.649325;0.022317;0.6%;;3.611943;0.002009;0.1%;;3.633173;0.002176;0.1%;;;;;
533;3.68143;0.003813;0.1%;;3.694573;0.046363;1.3%;;3.704857;0.036801;1.0%;;3.661325;0.006471;0.2%;;3.678223;0.00304;0.1%;;;;;
534;3.705403;0.005168;0.2%;;3.724221;0.047683;1.3%;;3.727117;0.058511;1.5%;;3.689335;0.002779;0.1%;;3.711338;0.002736;0.1%;;;;;
535;3.724312;0.005641;0.2%;;3.740066;0.048991;1.3%;;3.755848;0.074669;1.9%;;3.709655;0.004386;0.1%;;3.732853;0.002488;0.1%;;;;;
536;3.789056;0.004117;0.1%;;3.795735;0.054472;1.4%;;3.807251;0.064347;1.6%;;3.768182;0.006449;0.2%;;3.782261;0.002519;0.1%;;;;;
537;3.834605;0.003687;0.1%;;3.84539;0.057309;1.5%;;3.843598;0.047796;1.2%;;3.813786;0.006014;0.2%;;3.836803;0.002255;0.1%;;;;;
538;3.876847;0.004325;0.1%;;3.888745;0.061792;1.6%;;3.871932;0.037219;0.9%;;3.857476;0.004598;0.1%;;3.881014;0.001818;0.0%;;;;;
539;3.933107;0.004271;0.1%;;3.949329;0.065466;1.7%;;3.922004;0.030461;0.8%;;3.916424;0.005293;0.1%;;3.937507;0.002071;0.1%;;;;;
540;4.053524;0.00311;0.1%;;4.071416;0.075592;1.9%;;4.075382;0.026282;0.6%;;4.036203;0.007533;0.2%;;4.053267;0.001384;0.0%;;;;;
541;4.198032;0.002649;0.1%;;4.216002;0.087885;2.1%;;4.213467;0.027909;0.6%;;4.183422;0.009569;0.2%;;4.202816;0.001531;0.0%;;;;;
542;4.397729;0.002322;0.1%;;4.417951;0.105276;2.4%;;4.384361;0.029172;0.6%;;4.378328;0.010423;0.3%;;4.407812;0.001069;0.0%;;;;;
543;4.654815;0.001728;0.0%;;4.67212;0.14569;3.1%;;4.646233;0.036451;0.8%;;4.632639;0.010649;0.2%;;4.662972;0.001289;0.0%;;;;;
544;4.706077;0.002154;0.1%;;4.730671;0.192919;4.1%;;4.712205;0.039591;0.8%;;4.683722;0.011192;0.3%;;4.717773;0.00142;0.0%;;;;;
545;4.726223;0.002271;0.1%;;4.750331;0.28542;6.0%;;4.729979;0.050233;1.0%;;4.701611;0.014577;0.3%;;4.736987;0.001296;0.0%;;;;;
546;4.696226;0.002951;0.1%;;4.718268;0.686401;14.5%;;4.736603;0.078757;1.6%;;4.664661;0.015284;0.4%;;4.698821;0.00226;0.1%;;;;;
547;4.559159;0.002813;0.1%;;4.570351;1.304581;28.5%;;4.585447;0.097893;2.1%;;4.520903;0.014235;0.3%;;4.548942;0.00216;0.1%;;;;;
548;4.437673;0.00284;0.1%;;4.45216;2.179213;48.9%;;4.454276;0.101268;2.2%;;4.404902;0.015531;0.4%;;4.427097;0.002151;0.1%;;;;;
549;4.389812;0.004665;0.1%;;4.40696;3.204399;72.7%;;4.417046;0.070426;1.5%;;4.367722;0.016742;0.4%;;4.388213;0.00319;0.1%;;;;;
550;4.402423;0.005473;0.1%;;4.420873;3.479176;78.7%;;4.395567;0.049289;1.1%;;4.366641;0.016243;0.4%;;4.403629;0.004627;0.1%;;;;;
551;4.406926;0.008146;0.2%;;4.424752;3.609649;81.6%;;4.39822;0.033498;0.7%;;4.378151;0.012514;0.3%;;4.406307;0.007423;0.2%;;;;;
552;4.413598;0.011916;0.3%;;4.424786;3.79685;85.8%;;4.432295;0.023683;0.5%;;4.396414;0.014246;0.3%;;4.426359;0.011448;0.3%;;;;;
553;4.425489;0.011411;0.3%;;4.439075;3.879565;87.4%;;4.452959;0.021661;0.5%;;4.407999;0.012156;0.3%;;4.432192;0.012305;0.3%;;;;;
554;4.423948;0.009255;0.2%;;4.435882;3.885228;87.6%;;4.423085;0.01985;0.4%;;4.398533;0.013571;0.3%;;4.424573;0.011629;0.3%;;;;;
555;4.431695;0.004906;0.1%;;4.448881;3.827969;86.0%;;4.453014;0.014094;0.3%;;4.411178;0.01118;0.3%;;4.431903;0.007188;0.2%;;;;;
556;4.449032;0.003419;0.1%;;4.460925;3.795022;85.1%;;4.434077;0.012577;0.3%;;4.423492;0.006898;0.2%;;4.441896;0.005062;0.1%;;;;;
557;4.462097;0.003271;0.1%;;4.469236;3.781298;84.6%;;4.461201;0.013411;0.3%;;4.44325;0.003823;0.1%;;4.460245;0.003383;0.1%;;;;;
558;4.498401;0.001865;0.0%;;4.50401;3.829958;85.0%;;4.50744;0.012679;0.3%;;4.476712;0.008353;0.2%;;4.499624;0.002491;0.1%;;;;;
559;4.53856;0.001123;0.0%;;4.543861;3.892825;85.7%;;4.548982;0.013176;0.3%;;4.515382;0.007666;0.2%;;4.528828;0.002096;0.0%;;;;;
560;4.560366;0.001216;0.0%;;4.574423;3.955461;86.5%;;4.598481;0.014537;0.3%;;4.539312;0.007929;0.2%;;4.557753;0.001689;0.0%;;;;;
561;4.600047;0.001414;0.0%;;4.620057;4.046145;87.6%;;4.62851;0.015235;0.3%;;4.581224;0.008515;0.2%;;4.602663;0.00114;0.0%;;;;;
562;4.642099;0.001237;0.0%;;4.646069;4.097347;88.2%;;4.662162;0.015146;0.3%;;4.62509;0.007329;0.2%;;4.63309;0.001237;0.0%;;;;;
563;4.65308;0.001161;0.0%;;4.661211;4.100269;88.0%;;4.66115;0.016322;0.3%;;4.63306;0.010759;0.2%;;4.651705;0.001375;0.0%;;;;;
564;4.707274;0.001556;0.0%;;4.716607;4.067448;86.2%;;4.723353;0.014077;0.3%;;4.677149;0.013799;0.3%;;4.700097;0.001556;0.0%;;;;;
565;4.738664;0.001146;0.0%;;4.748913;3.933229;82.8%;;4.735258;0.013562;0.3%;;4.707731;0.015854;0.4%;;4.736094;0.001548;0.0%;;;;;
566;4.760431;0.000984;0.0%;;4.775327;3.681249;77.1%;;4.75531;0.013491;0.3%;;4.739289;0.01549;0.3%;;4.758932;0.001444;0.0%;;;;;
567;4.813448;0.001254;0.0%;;4.824169;3.039626;63.0%;;4.806678;0.012977;0.3%;;4.787243;0.020061;0.4%;;4.815329;0.002108;0.0%;;;;;
568;4.848793;0.000968;0.0%;;4.864754;2.418478;49.7%;;4.84508;0.014375;0.3%;;4.825374;0.03884;0.9%;;4.851522;0.002539;0.1%;;;;;
569;4.876449;0.000862;0.0%;;4.893054;1.734812;35.5%;;4.887593;0.014306;0.3%;;4.846272;0.052371;1.2%;;4.870286;0.002603;0.1%;;;;;
570;4.916507;0.001033;0.0%;;4.928482;0.879896;17.9%;;4.939295;0.016655;0.3%;;4.892654;0.0581;1.3%;;4.913247;0.002582;0.1%;;;;;
571;4.948537;0.001271;0.0%;;4.961831;0.513733;10.4%;;4.965937;0.018671;0.4%;;4.925173;0.04223;0.9%;;4.952056;0.002843;0.1%;;;;;
572;4.969099;0.00137;0.0%;;4.983088;0.293142;5.9%;;4.964697;0.021456;0.4%;;4.938578;0.026086;0.6%;;4.968643;0.002658;0.1%;;;;;
573;5.010592;0.001432;0.0%;;5.021916;0.136309;2.7%;;5.017604;0.025346;0.5%;;4.983897;0.01501;0.3%;;5.015168;0.002271;0.0%;;;;;
574;5.04461;0.001573;0.0%;;5.066135;0.091627;1.8%;;5.074148;0.026756;0.5%;;5.022722;0.012716;0.3%;;5.053684;0.002691;0.1%;;;;;
